Model,reward,steps,total_waiting_time,phase_switches,vehicles_defined
Phase 1,2193.170,172.000,19596.600,10.000,266.000
Phase 2,2466.150,153.000,8857.000,7.000,266.000
Phase 3,4260.835,243.000,5643.300,21.000,266.000
Phase 4,-2877.675,270.000,290695.900,15.000,266.000
Philadelphia Baseline,2644.320,177.000,16253.600,4.000,266.000
