Model,reward,steps,total_waiting_time,phase_switches,vehicles_defined
Phase 1,3019.320,175.000,6273.600,14.000,333.000
Phase 2,2600.535,163.000,10969.300,9.000,333.000
Phase 3,4303.730,246.000,10005.400,25.000,333.000
Phase 4,2353.675,218.000,26646.500,22.000,333.000
Philadelphia Baseline,2708.410,177.000,13491.800,4.000,333.000
