objectid,street_name,buffer
162,WASHINGTON LN,50 feet
163,WELSH RD,50 feet
164,WELSH RD,50 feet
165,WESTMINSTER AVE,50 feet
166,WHITAKER AVE,50 feet
167,WISSAHICKON AVE,50 feet
168,WOLF ST,50 feet
169,WOODLAND AVE,50 feet
170,WYNCOTE AVE,50 feet
171,WYNNEFIELD AVE,50 feet
172,WYOMING AVE,50 feet
173,WYOMING AVE,50 feet
174,26TH ST,75 feet
175,38TH ST,75 feet
176,49TH ST,75 feet
177,63RD ST,75 feet
178,ACADEMY RD,75 feet
179,ARAMINGO AVE,75 feet
180,BALTIMORE AVE,75 feet
181,BALTIMORE AVE,75 feet
182,BARTRAM AVE,75 feet
190,BYBERRY RD,75 feet
183,BARTRAM AVE,75 feet
184,BELFIELD AVE,75 feet
185,BELMONT AVE,75 feet
186,BENJAMIN FRANKLIN PKWY,75 feet
187,BROAD ST,75 feet
188,BROAD ST,75 feet
189,BUSTLETON AVE,75 feet
191,CASTOR AVE,75 feet
192,CASTOR AVE,75 feet
193,CHELTENHAM AVE,75 feet
194,CHESTNUT ST,75 feet
195,CHESTNUT ST,75 feet
196,CHRISTOPHER COLUMBUS BLVD,75 feet
